q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,Country,Year,Region,Income Group
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,Timor-Leste,2019,South East Asia,Lower middle income
