FinalWgt,CR1,CR2,BTR3,BTR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,BTR15,BTR16,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,BTR28,CR27,CR28,BTR31,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,SLR1,SLR6,SLR7,SLR8,SLR9,BTR51,SLR12,SLR14,SLR15,SLR16,SLR17,OR1,BTR58,BTR59,BTR60,Stratum,PSU
3.789569182,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,2,1,1,2,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,4,2,5,3,6,6,1,201301001,1
3.789569182,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,8,1,2,3,1,2,1,2,1,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,3,7,7,2,201301001,1
3.789569182,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,,3,4,2,2,2,6,1,1,2,2,3,4,3,7,5,1,201301001,1
3.789569182,1,2,1,4,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,2,2,3,2,2,2,1,1,3,3,5,1,1,1,1,1,1,1,1,3,3,5,1,6,5,1,201301001,1
3.789569182,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,3,3,3,3,2,2,1,1,4,3,5,1,1,1,1,1,1,3,1,3,3,5,3,4,4,8,201301001,1
3.789569182,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,1,1,1,8,1,2,1,3,2,3,1,1,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,3,5,1,2,1,1,201301001,1
3.789569182,2,2,1,2,2,1,1,1,,,1,1,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,1,1,1,8,1,2,1,3,2,1,1,2,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,4,3,4,3,1,201301001,1
3.789569182,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,2,1,1,2,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,3,2,5,3,6,5,1,201301001,1
3.789569182,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,1,1,1,3,1,3,1,3,2,2,1,1,4,2,4,1,1,1,1,1,1,3,1,4,2,4,3,7,8,1,201301001,1
3.789569182,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,1,1,1,3,1,3,1,3,2,2,1,1,4,2,4,1,1,1,1,1,1,3,1,4,2,4,3,8,8,1,201301001,1
