FinalWgt,BTR1,CR2,BTR3,BTR4,BTR5,CR5,CR6,CR7,CR8,CR9,CR10,BTR12,BTR13,CR11,CR12,BTR16,CR13,CR14,SLR1,SLR2,SLR3,SLR4,SLR5,SLR6,SLR7,SLR8,BTR27,BTR28,SLR11,SLR14,SLR15,SLR17,BTR33,BTR34,BTR35,BTR36,BTR37,CR15,CR16,CR17,OR12,BTR42,BTR43,CR19,CR20,CR21,CR22,CR23,CR24,CR25,BTR51,CR27,CR28,BTR54,OR22,OR23,BTR57,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,OR45,OR46,OR60,CR39,CR40,CR41,CR42,CR43,BTR75,Stratum,PSU
10.15816816,3,2,4,1,4,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,5,8,1,1,3,1,2,3,3,2,2,1,2,2,4,2,2,3,4,1,201901001,1
10.15816816,4,2,4,1,3,2,1,1,1,2,2,1,1,1,1,1,1,2,6,1,1,2,2,2,2,2,1,1,1,1,4,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,5,8,2,3,1,1,1,3,1,1,2,1,2,3,1,1,3,3,4,1,201901001,1
10.15816816,4,2,4,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,5,8,1,1,3,2,2,3,3,2,2,4,1,3,2,1,3,3,5,1,201901001,1
10.15816816,4,2,4,1,4,1,5,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,5,8,1,1,3,1,2,3,3,2,2,1,2,2,4,2,2,3,4,1,201901001,1
10.15816816,4,2,4,1,4,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,5,8,1,1,3,1,2,3,3,2,2,4,1,4,1,1,2,1,4,1,201901001,1
10.15816816,5,2,4,1,1,1,6,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,2,5,8,1,2,2,1,2,1,3,2,2,1,2,3,1,1,4,3,5,1,201901001,1
10.15816816,5,2,4,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,3,5,2,2,1,3,1,2,3,2,2,2,1,2,3,1,1,4,1,5,1,201901001,1
10.15816816,5,2,4,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,1,1,1,1,1,1,3,5,8,1,1,1,2,2,1,2,2,2,1,1,3,1,1,3,3,5,1,201901001,1
10.15816816,5,2,4,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,1,3,5,8,1,2,3,1,2,3,3,2,2,3,2,3,1,1,3,3,5,3,201901001,1
10.15816816,5,2,4,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,4,1,1,1,1,1,1,3,5,2,2,1,3,1,2,3,2,2,2,3,1,3,1,1,3,3,5,1,201901001,1
10.15816816,5,2,4,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,5,2,1,2,1,1,1,1,1,1,1,1,1,3,3,2,4,1,1,1,1,1,1,3,5,1,1,2,1,1,2,3,3,2,2,1,1,3,1,1,1,3,5,3,201901001,1
10.15816816,5,2,4,1,7,1,6,,,2,2,1,1,2,8,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,1,1,2,7,2,3,2,3,6,3,1,1,2,1,4,2,2,5,1,3,2,3,5,2,1,2,2,1,2,3,3,2,2,1,2,3,1,1,2,3,4,1,201901001,1
10.15816816,6,2,4,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,5,1,2,1,2,1,1,1,1,1,1,1,3,1,4,1,4,1,1,1,1,1,1,3,5,8,2,1,3,1,2,3,3,2,2,1,2,3,1,1,3,1,4,1,201901001,1
10.15816816,6,2,4,1,3,1,6,5,2,1,1,1,1,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,4,1,5,6,3,2,3,2,3,6,1,3,3,2,2,1,1,2,2,3,3,2,2,3,1,3,2,1,2,3,2,2,1,3,3,4,3,3,2,3,1,3,201901001,1
10.15816816,6,2,4,1,4,1,5,3,3,1,2,5,1,3,3,7,2,2,2,2,3,2,3,3,3,,2,2,2,3,2,3,1,1,2,1,2,2,2,2,2,2,3,1,5,1,,4,1,1,2,3,3,3,2,3,4,1,2,2,1,2,2,3,2,1,3,3,3,2,2,3,,,,201901001,1
10.15816816,7,2,4,1,1,1,6,1,1,1,1,6,1,2,5,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,1,4,3,2,3,3,4,3,3,2,3,3,1,4,1,1,2,3,3,2,2,2,2,1,3,2,1,2,3,3,2,2,1,2,3,1,1,4,3,4,1,201901001,1
10.15816816,7,2,4,1,1,2,1,1,1,2,2,,1,1,1,1,1,1,7,2,3,2,2,2,2,3,3,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,3,5,8,2,3,3,1,2,3,3,,2,1,1,3,1,1,1,3,5,2,201901001,1
10.15816816,7,2,4,1,2,1,6,7,3,1,2,2,6,4,8,7,1,2,6,7,3,3,3,4,1,4,3,6,2,4,4,2,1,1,1,2,7,3,3,4,2,8,3,5,5,5,1,4,1,1,2,3,3,2,2,4,2,1,1,2,1,2,3,1,2,2,1,4,3,4,4,4,1,,,201901001,1
