FinalWgt,CR1,CR2,TPR3,TPR4,OR1,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,OR9,CR13,CR14,CR15,CR16,CR17,TPR20,OR10,OR11,TPR23,TPR24,OR14,CR19,OR18,CR20,TPR29,CR21,CR22,CR23,CR24,CR25,TPR35,CR27,CR28,TPR38,OR22,CR30,TPR41,CR31,CR32,CR33,CR34,TPR46,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,TPR56,TPR57,OR47,TPR59,OR55,OR56,TPR62,OR59,OR60,Stratum,PSU
20.00008531,4,,4,6,,1,1,1,1,1,1,1,4,4,1,1,3,4,1,1,4,5,5,2,2,,,2,2,1,2,1,1,,5,,,6,,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,5,5,1,3,1,1,1,1,3,2,201901001,1
20.00008531,4,,4,7,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,4,5,5,2,3,1,2,2,1,3,1,1,1,1,1,1,3,1,2,1,2,3,2,2,1,2,1,1,3,3,3,3,4,1,1,4,3,1,1,1,3,3,201901001,1
27.92526852,2,2,2,5,4,2,1,1,1,1,1,1,1,1,1,2,4,4,4,7,2,1,1,1,1,1,4,1,2,1,2,3,1,2,5,3,1,2,3,2,2,1,3,2,3,3,2,3,2,2,3,3,3,2,4,2,3,2,3,2,3,1,3,3,201901001,1
27.92526852,3,2,2,1,3,2,1,1,1,2,2,2,1,1,,,1,1,3,2,5,5,1,1,1,1,3,1,2,5,1,3,1,2,1,3,1,1,3,1,2,2,1,3,2,4,2,3,2,2,2,2,1,3,5,1,1,3,4,1,3,1,3,4,201901001,1
27.92526852,3,2,2,1,4,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,3,2,3,6,2,2,3,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,3,2,2,2,2,4,1,5,1,2,3,3,1,3,2,3,3,201901001,1
27.92526852,3,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,5,2,5,2,5,2,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,3,2,3,4,2,1,1,2,2,201901001,1
27.92526852,3,2,2,2,3,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,3,1,2,3,2,2,2,1,3,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,3,2,2,1,1,3,1,5,3,2,2,3,1,1,1,1,2,201901001,1
27.92526852,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,3,4,3,6,4,3,1,3,4,2,3,2,2,2,2,3,2,2,1,3,6,2,2,1,2,1,1,2,2,4,2,3,2,2,2,2,2,3,5,2,4,3,3,2,3,,4,2,201901001,1
27.92526852,3,2,2,3,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,1,1,3,1,8,2,1,1,2,1,1,2,4,2,3,2,2,1,3,3,2,5,3,1,3,3,2,1,1,4,4,201901001,1
27.92526852,3,2,2,3,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,4,3,2,3,1,2,2,2,2,3,201901001,1
