FinalWgt,CR1,CR2,TPR3,TPR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,CR27,CR28,TPR29,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,OR1,OR6,OR9,OR10,OR11,OR12,OR13,OR14,OR18,OR19,OR22,OR26,OR33,OR45,OR46,OR47,OR53,OR55,OR56,OR57,OR59,OR60,Stratum,PSU
22.95069508,4,1,2,1,,,,,1,2,1,2,1,2,4,1,3,2,1,3,2,1,4,2,1,2,,1,3,2,3,,2,2,2,3,,2,3,2,1,3,5,3,2,2,1,3,5,6,3,1,4,2,1,3,1,2,3,1,2,1,2,2,3,201301001,1
22.95069508,4,1,3,1,1,,2,4,2,2,2,2,2,2,4,4,4,3,2,2,2,1,3,1,1,4,2,3,1,,3,3,3,3,3,2,2,2,3,4,4,3,1,3,4,2,3,2,2,2,2,2,1,2,3,3,3,2,2,1,2,3,3,3,3,201301001,1
22.95069508,4,1,3,2,2,1,1,1,2,2,1,1,2,2,2,4,4,6,1,1,1,2,1,2,2,1,3,1,8,2,3,3,2,3,3,3,2,2,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,2,3,3,5,1,1,4,2,2,2,4,4,201301001,1
22.95069508,4,1,3,7,2,1,1,1,2,2,1,1,2,2,1,2,1,4,1,1,1,1,2,1,2,1,1,1,8,1,1,1,3,2,1,3,2,2,1,1,1,3,5,1,1,1,1,1,1,4,1,2,1,3,2,1,2,3,1,1,,3,2,1,1,201301001,1
22.95069508,5,1,2,1,,,,5,1,2,2,3,1,2,2,2,2,3,2,3,3,1,2,2,2,3,3,3,2,1,2,3,2,1,2,3,2,2,1,3,2,1,1,2,3,1,2,1,2,2,2,1,2,3,3,2,1,1,2,3,,2,1,1,2,201301001,1
22.95069508,5,1,2,1,2,,1,1,,,2,1,2,2,1,1,2,4,1,1,1,2,1,2,2,1,1,1,1,2,2,3,3,2,2,2,,2,2,1,2,1,1,1,1,1,1,1,,,,1,1,1,2,2,2,1,1,1,2,2,2,2,2,201301001,1
22.95069508,5,1,2,2,,,,2,2,2,2,4,,,1,1,3,3,2,1,2,1,2,1,2,3,2,3,2,2,3,2,3,1,2,2,2,2,4,3,1,1,2,5,3,5,2,5,3,5,2,2,3,2,2,3,3,4,4,2,2,2,3,3,2,201301001,1
22.95069508,5,1,3,2,1,6,2,2,2,2,1,2,2,2,3,4,3,4,5,5,5,1,4,1,2,1,3,1,8,1,3,2,2,2,3,2,2,2,3,3,3,3,4,3,3,1,5,3,7,3,6,3,6,1,3,2,3,2,2,1,1,1,1,2,2,201301001,1
22.95069508,5,1,3,2,1,,3,2,,,4,1,,,2,2,2,5,2,3,2,2,2,1,1,4,3,3,8,2,1,1,1,3,2,3,2,2,2,1,3,3,5,3,3,5,5,5,1,3,3,4,2,2,1,1,3,2,2,1,2,2,2,2,2,201301001,1
22.95069508,5,1,3,2,,,,,,1,4,8,1,2,4,1,4,2,5,3,4,1,4,1,2,1,2,4,7,1,1,2,3,1,2,3,,2,4,1,3,1,5,3,1,3,5,,1,3,6,1,2,,1,2,5,,3,4,,,1,2,,201301001,1
