q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,Country,Year,Income Group,Susceptibility,q27
13 or below,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
13 or below,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,,,,,,,,,,,,,,Bangladesh,2013,Lower middle income,susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
