iter	Passed	Remaining
0	47	47483
1	48	24421
2	50	16677
3	51	12797
4	52	10469
5	53	8920
6	55	7811
7	56	6980
8	57	6335
9	58	5817
10	59	5391
11	61	5038
12	62	4738
13	63	4483
14	64	4259
15	66	4063
16	67	3890
17	68	3736
18	69	3599
19	70	3474
20	72	3361
21	73	3259
22	74	3167
23	75	3082
24	77	3003
25	78	2929
26	79	2868
27	80	2800
28	81	2736
29	82	2675
30	83	2619
31	84	2568
32	85	2511
33	86	2452
34	87	2401
35	87	2349
36	88	2303
37	89	2255
38	89	2213
39	90	2171
40	91	2133
41	91	2095
42	92	2059
43	93	2026
44	93	1991
45	94	1960
46	95	1929
47	95	1899
48	96	1873
49	97	1845
50	97	1820
51	98	1794
52	99	1771
53	99	1747
54	100	1725
55	101	1706
56	101	1685
57	102	1665
58	103	1645
59	103	1628
60	104	1609
61	105	1591
62	105	1575
63	106	1560
64	107	1543
65	107	1527
66	108	1513
67	109	1500
68	110	1487
69	110	1473
70	111	1461
71	112	1447
72	113	1435
73	113	1424
74	114	1411
75	115	1400
76	115	1388
77	116	1378
78	117	1366
79	117	1355
80	118	1344
81	119	1334
82	119	1325
83	120	1315
84	121	1305
85	121	1296
86	122	1286
87	123	1278
88	123	1268
89	124	1261
90	125	1252
91	126	1243
92	126	1234
93	127	1226
94	127	1218
95	128	1209
96	129	1201
97	129	1194
98	130	1187
99	131	1179
100	131	1172
101	132	1165
102	133	1159
103	133	1152
104	134	1145
105	135	1139
106	135	1132
107	136	1126
108	137	1121
109	137	1116
110	138	1109
111	139	1104
112	140	1099
113	140	1093
114	141	1087
115	142	1086
116	143	1082
117	144	1077
118	144	1072
119	145	1066
120	146	1061
121	146	1056
122	147	1051
123	148	1046
124	148	1041
125	149	1036
126	150	1031
127	150	1026
128	151	1022
129	152	1017
130	152	1013
131	153	1008
132	154	1004
133	154	1000
134	155	995
135	156	991
136	156	987
137	157	983
138	158	979
139	158	974
140	159	970
141	160	967
142	160	963
143	161	959
144	162	955
145	162	951
146	163	948
147	164	944
148	164	941
149	165	937
150	166	934
151	166	930
152	167	926
153	168	923
154	168	919
155	169	916
156	170	913
157	170	910
158	171	907
159	172	905
160	173	901
161	173	898
162	174	895
163	175	892
164	175	889
165	176	887
166	177	884
167	178	882
168	178	879
169	179	876
170	180	874
171	181	871
172	181	868
173	182	865
174	182	862
175	183	859
176	184	856
177	185	854
178	185	851
179	186	848
180	187	846
181	187	843
182	188	840
183	188	838
184	189	836
185	190	833
186	191	830
187	191	828
188	192	825
189	193	822
190	193	820
191	194	817
192	194	815
193	195	812
194	196	810
195	197	808
196	197	805
197	198	803
198	199	801
199	199	798
200	200	796
201	201	794
202	201	792
203	202	790
204	203	788
205	203	785
206	204	783
207	205	781
208	205	779
209	206	777
210	207	774
211	207	772
212	208	770
213	209	768
214	209	766
215	210	764
216	211	761
217	211	759
218	212	757
219	213	755
220	213	753
221	214	752
222	215	749
223	215	747
224	216	746
225	217	744
226	217	742
227	218	740
228	219	738
229	219	736
230	220	734
231	221	732
232	221	730
233	222	728
234	223	726
235	224	725
236	224	724
237	225	722
238	226	720
239	227	718
240	227	717
241	228	715
242	229	713
243	229	712
244	230	710
245	231	708
246	231	706
247	232	704
248	233	703
249	233	701
250	234	699
251	235	697
252	235	696
253	236	694
254	237	692
255	237	690
256	238	689
257	239	687
258	239	686
259	240	684
260	241	682
261	241	681
262	242	679
263	243	677
264	243	676
265	244	674
266	245	673
267	245	671
268	246	670
269	247	668
270	247	666
271	248	665
272	249	663
273	249	662
274	250	660
275	251	658
276	251	657
277	252	655
278	253	654
279	253	652
280	254	651
281	255	649
282	255	648
283	256	646
284	257	645
285	257	643
286	258	642
287	259	641
288	260	639
289	260	638
290	261	636
291	262	635
292	262	634
293	263	632
294	264	631
295	264	630
296	265	628
297	266	627
298	267	626
299	267	625
300	268	623
301	269	622
302	270	621
303	270	619
304	271	618
305	272	617
306	272	615
307	273	614
308	274	612
309	274	611
310	275	610
311	276	608
312	276	607
313	277	605
314	278	604
315	278	603
316	279	601
317	279	600
318	280	599
319	281	597
320	282	596
321	282	595
322	283	594
323	284	592
324	284	591
325	285	590
326	286	589
327	286	587
328	287	586
329	288	585
330	289	584
331	289	582
332	290	581
333	291	580
334	291	579
335	292	578
336	293	576
337	293	575
338	294	574
339	295	573
340	295	571
341	296	570
342	297	569
343	297	568
344	298	567
345	299	565
346	300	564
347	300	563
348	301	562
349	302	560
350	302	559
351	303	558
352	303	556
353	304	555
354	305	554
355	305	553
356	306	552
357	307	550
358	307	549
359	308	548
360	309	547
361	309	546
362	310	544
363	311	543
364	311	542
365	312	541
366	313	540
367	314	539
368	314	538
369	315	536
370	316	535
371	316	534
372	317	533
373	318	532
374	318	531
375	319	530
376	320	528
377	320	527
378	321	526
379	322	525
380	322	524
381	323	523
382	324	522
383	324	521
384	325	519
385	326	518
386	326	517
387	327	516
388	328	515
389	328	514
390	329	513
391	330	512
392	330	510
393	331	509
394	332	508
395	332	507
396	333	506
397	334	505
398	334	504
399	335	502
400	335	501
401	336	500
402	337	499
403	337	498
404	338	497
405	339	496
406	340	495
407	340	494
408	341	493
409	342	492
410	342	491
411	343	490
412	344	489
413	344	488
414	345	487
415	346	486
416	346	485
417	347	484
418	348	482
419	348	481
420	349	481
421	350	479
422	350	478
423	352	478
424	353	477
425	353	476
426	354	475
427	355	474
428	355	473
429	356	472
430	357	471
431	357	470
432	358	469
433	359	468
434	359	467
435	360	466
436	361	465
437	361	464
438	362	463
439	363	462
440	363	461
441	364	460
442	365	459
443	365	458
444	366	457
445	368	457
446	369	456
447	370	456
448	371	455
449	372	454
450	373	454
451	374	453
452	375	453
453	376	452
454	377	452
455	378	451
456	379	451
457	380	450
458	381	450
459	382	449
460	383	448
461	384	447
462	384	446
463	385	445
464	386	444
465	386	443
466	387	442
467	388	441
468	388	440
469	389	438
470	389	437
471	390	436
472	391	435
473	392	435
474	392	434
475	393	433
476	394	432
477	394	431
478	395	430
479	396	429
480	397	428
481	397	427
482	398	426
483	399	425
484	399	424
485	400	423
486	400	422
487	401	421
488	402	420
489	403	419
490	403	418
491	404	417
492	405	416
493	406	416
494	408	416
495	409	415
496	410	415
497	411	415
498	413	414
499	414	414
500	415	414
501	417	413
502	418	413
503	419	412
504	420	412
505	422	412
506	423	411
507	424	411
508	425	410
509	425	409
510	426	408
511	427	407
512	428	406
513	428	405
514	429	404
515	430	403
516	430	402
517	431	401
518	432	400
519	432	399
520	433	398
521	434	397
522	434	396
523	435	395
524	436	394
525	436	393
526	437	392
527	438	391
528	438	390
529	439	389
530	440	388
531	440	387
532	441	386
533	442	385
534	442	384
535	443	383
536	444	382
537	444	381
538	445	380
539	446	380
540	446	378
541	447	378
542	447	377
543	448	376
544	449	375
545	449	374
546	450	373
547	451	372
548	452	371
549	452	370
550	453	369
551	454	368
552	454	367
553	455	366
554	456	365
555	456	364
556	457	363
557	458	362
558	458	361
559	459	361
560	460	360
561	460	359
562	461	358
563	462	357
564	462	356
565	463	355
566	464	354
567	464	353
568	465	352
569	466	351
570	466	350
571	467	349
572	468	348
573	468	347
574	469	347
575	470	346
576	470	345
577	471	344
578	472	343
579	472	342
580	473	341
581	473	340
582	474	339
583	475	338
584	475	337
585	476	336
586	477	335
587	477	334
588	478	333
589	479	332
590	479	332
591	480	331
592	481	330
593	481	329
594	482	328
595	483	327
596	483	326
597	484	325
598	485	324
599	486	324
600	486	323
601	487	322
602	488	321
